event_id,phone_id,ad_id,provider,placement,length,event_ts
628e681abe353bfef7236ecaa8489f48,5d54f75b21a2f45cba7a3c64af35d163,2,Spotify,Bottom,2027,2019-07-01 18:42:45.151950
b2a35a13aa035fb4799c67fc7d07abb4,78374241fa9b3bf1d3a5ab1e61475be5,1,Spotify,Center,625,2019-07-01 18:42:45.151981
037e836212390bfbfa1401bd6b655427,3b9c18dd3f8153b8eaa386b068a57ab8,20,Instagram,Top,1559,2019-07-01 18:42:45.152000
9fe5c3e910faec37b3cc25afb9b0f61d,693a50b8938165bee414c44f73fdfaaf,15,Instagram,Top,157,2019-07-01 18:42:45.152018
2589c9f174eb8ecdc959a1744dd587c1,1c0b80eebf3ecb45fc1a54d51e54e195,8,Snapchat,Bottom,506,2019-07-01 18:42:45.152036
13b3e77a5cffe1dbd05fa7565d8e8fb3,a944bb723f9d521c5e1bc4ca7c090ce3,1,Spotify,Right,937,2019-07-01 18:42:45.152059
46eff7a65c9febeda97dda5e53391fc0,eb2588675a40803cc6d96ead64fdcb0c,1,Spotify,Center,1413,2019-07-01 18:42:45.152078
27cccaf91d80889a7b39e34588851da1,2bca3e41aa235f0b3f5fb98cf820c928,4,Spotify,Center,2212,2019-07-01 18:42:45.152096
a871542c0c2a5843df84ed6431ac19fc,b348e74348aaa51332bdb4382e92714f,15,Facebook,Bottom,1931,2019-07-01 18:42:45.152116
2f2ddbd08b7e4daf3495bc3812e634d0,77cb0507849a00c1be717674cd8d366e,8,Facebook,Center,139,2019-07-01 18:42:45.152134
2d93cc1e5bd8d14cf3a2314c2a706da4,aabcf405e9559124dc58fa84a3a421da,5,Snapchat,Center,542,2019-07-01 18:42:45.152151
e138b0967f54943bf11599b6677f28b4,60eefc87582cb7dabd9ed1e7743eff0e,8,Snapchat,Right,1422,2019-07-01 18:42:45.152168
8b11a03b8c626d41db4c2711b94e4b75,7d1455f1f8986d4efd80ec6b88ffc30e,6,Facebook,Top,2204,2019-07-01 18:42:45.152186
583fed2d6bfa0ddb0b12e760b3a78362,5b98c8a05d86054051df809cc2f4d5bc,7,Snapchat,Right,1745,2019-07-01 18:42:45.152203
c684500cd83ebfcf03de3fe5ae48b713,0e9e70e00c8b62c804b62fcf3e60c547,6,Instagram,Bottom,504,2019-07-01 18:42:45.152220
aec47516fcf954db07201fb56dbe4771,7b773fc9f4e2a89ae9c58ff8f1297f41,1,Spotify,Left,825,2019-07-01 18:42:45.152238
f0c7d68302985fad43ad1bde51ca73f2,cf40fee36d4a3f183827b0b9d43abddb,7,Snapchat,Left,1341,2019-07-01 18:42:45.152258
8c335510203a3446f46d6446f0ec23f2,b100e346f1b20b2e17810b479503ee0a,0,Instagram,Center,1234,2019-07-01 18:42:45.152277
8f187e81c03dfad111e3115c625149df,96ce19e97c6477f01977837774a3b884,4,Instagram,Bottom,411,2019-07-01 18:42:45.152294
b25d6d6c5758043c0e5ac3bf42370090,015c4570264c402b0770227856e85923,9,Snapchat,Bottom,51,2019-07-01 18:42:45.152312
9907c305c05d05f6b88ec83a37bc6800,d6e535ead31611bf3192d05026358884,3,Spotify,Left,527,2019-07-01 18:42:45.152330
adb6f1e103f496d66979542e2444acb5,745db5d3e41abc2a795bbf56dbcc767b,0,Snapchat,Bottom,1857,2019-07-01 18:42:45.152347
f5d8b212bfc6b2c25a775abf3c5f2125,6ed0b19ee8cdaa728aaf980c613b99ea,2,Instagram,Top,536,2019-07-01 18:42:45.152364
683e483bb63df480d3dbe75a2c844af6,4ff12137efd119a60f2e92eb36366df7,4,Facebook,Bottom,1742,2019-07-01 18:42:45.152382
ceeb25eb48cf6dc2e02ea6d6158140d5,51cf7970eb701d17653fceeca660250e,14,Instagram,Top,2211,2019-07-01 18:42:45.152400
a956475670764feb613ac1e0dda396e5,d0aab311685baf22d3648194648b8d6b,1,Spotify,Bottom,1214,2019-07-01 18:42:45.152418
b17ba40d9e4899385b1d10b779f025aa,4359ab32457e278b883bf5bc7ac7a511,1,Instagram,Top,221,2019-07-01 18:42:45.152435
